Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletnosc[%]
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 09:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 10:00;Ca³a doba;0,001;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 11:00;Ca³a doba;0,002;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 12:00;Ca³a doba;0,001;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 13:00;Ca³a doba;0,013;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 14:00;Ca³a doba;0,016;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 15:00;Ca³a doba;0,013;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 16:00;Ca³a doba;0,004;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 17:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 18:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 19:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 20:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 21:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 22:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-01 23:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 00:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 09:00;Ca³a doba;0,252;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 10:00;Ca³a doba;1,520;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 11:00;Ca³a doba;1,925;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 12:00;Ca³a doba;1,144;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 13:00;Ca³a doba;0,571;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 14:00;Ca³a doba;0,316;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 15:00;Ca³a doba;0,030;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 16:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 17:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 18:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 19:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 20:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 21:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 22:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-02 23:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 00:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 09:00;Ca³a doba;0,008;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 10:00;Ca³a doba;0,078;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 11:00;Ca³a doba;0,678;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 12:00;Ca³a doba;1,955;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 13:00;Ca³a doba;0,715;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 14:00;Ca³a doba;0,300;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 15:00;Ca³a doba;0,123;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 16:00;Ca³a doba;0,001;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 17:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 18:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 19:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 20:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 21:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 22:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-03 23:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 00:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 09:00;Ca³a doba;0,008;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 10:00;Ca³a doba;0,173;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 11:00;Ca³a doba;1,557;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 12:00;Ca³a doba;0,729;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 13:00;Ca³a doba;0,094;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 14:00;Ca³a doba;0,085;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 15:00;Ca³a doba;0,009;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 16:00;Ca³a doba;0,002;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 17:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 18:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 19:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 20:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 21:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 22:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-04 23:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 00:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 09:00;Ca³a doba;0,002;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 10:00;Ca³a doba;0,030;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 11:00;Ca³a doba;0,415;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 12:00;Ca³a doba;0,273;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 13:00;Ca³a doba;0,820;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 14:00;Ca³a doba;0,397;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 15:00;Ca³a doba;0,028;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 16:00;Ca³a doba;0,002;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 17:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 18:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 19:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 20:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 21:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 22:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-05 23:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 00:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 01:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 02:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 03:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 04:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 05:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 06:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 07:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 08:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 09:00;Ca³a doba;0,014;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 10:00;Ca³a doba;0,013;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 11:00;Ca³a doba;0,077;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 12:00;Ca³a doba;0,071;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 13:00;Ca³a doba;0,029;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 14:00;Ca³a doba;0,006;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 15:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 16:00;Ca³a doba;0,000;100,00
60037725;PPE:590322429401548921;energia czynna oddana;2024-01-06 17:00;Ca³a doba;0,000;100,00
